ano,mes,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,SETEMBRO,SOUZA,BELEM,RESIDENCIA PARTICULAR,"-1,4169675","-48,4514607",14:30:00
2019,DEZEMBRO,CARANANDUBA,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,0962193","-48,4089339",10:00:00
2019,AGOSTO,FATIMA,BELEM,VIA PUBLICA,"-1,4579201","-48,4689556",10:00:00
2020,JULHO,UMARIZAL,BELEM,HOSPITAL,"-1,4409355","-48,4843235",23:30:00
2020,FEVEREIRO,MARCO,BELEM,RESIDENCIA PARTICULAR,"-1,4373859","-48,4499039",08:30:00
2021,ABRIL,TELEGRAFO SEM FIO,BELEM,RESIDENCIA PARTICULAR,"-1,4338002","-48,4814469",15:12:00
2021,DEZEMBRO,AGULHA,ICOARACI,VIA PUBLICA,"-1,3077013","-48,4689704",20:48:00
2022,MAIO,GUAMA,BELEM,CASA DE ABRIGO E ASSISTENCIA,"-1,4654928","-48,4683227",17:30:00
2023,JULHO,TERRA FIRME,BELEM,HOSPITAL,"-1,4543563","-48,4470862",22:50:00
2024,MAIO,UMARIZAL,BELEM,HOSPITAL,"-1,449323","-48,4805721",02:55:00
2025,AGOSTO,SACRAMENTA,BELEM,RESIDENCIA PARTICULAR,"-1,4074488","-48,4722501",11:00:00
2025,JUNHO,GUAMA,BELEM,HOSPITAL,"-1,4684816","-48,4673307",06:30:00
